CalendarYear,Licences,Days,Tonnes
1990,668,38396,"1,875.67"
1991,673,36075,"2,092.97"
1992,632,34229,"2,731.21"
1993,676,41008,"2,326.56"
1994,632,41156,"2,778.35"
1995,632,42270,"3,645.87"
1996,660,44233,"4,618.95"
1997,669,47702,"5,018.46"
1998,606,43767,"6,519.14"
1999,604,43033,"7,161.02"
2000,619,43354,"7,217.36"
2001,630,45474,"8,244.4"
2002,615,43855,"7,183.05"
2003,639,48149,"8,258.36"
2004,633,48396,"8,621.38"
2005,543,39581,"6,906.57"
2006,540,39275,"7,212.68"
2007,545,38362,"6,865.64"
2008,552,38947,"7,802.24"
2009,514,35234,"7,121.12"
2010,484,33768,"6,813.92"
2011,490,32780,"6,921.94"
2012,472,32641,"6,581.99"
2013,457,29872,"5,993.25"
2014,428,27666,"5,257.05"
2015,388,27748,"5,825.19"
2016,380,27689,"5,270.07"
2017,356,26597,"5,295.33"
2018,372,25477,"4,614.65"
2019,334,19913,"3,443.27"
2020,336,17735,"3,929.96"
2021,327,15608,"4,222.62"
2022,302,15469,"4,408.18"
2023,295,14015,"4,255.67"
2024 incomplete,215,8689,"2,510.96"
Grand Total,1411,1188163,"189,545.01"
